"first_name","last_name","name","sum"
"Niklas                                            ","Schröder                                          ","Amy Winehouse","24.75"
"Fynn                                              ","Zimmermann                                        ","Red Hot Chili Peppers","9.9"
"John                                              ","Gordon                                            ","Creedence Clearwater Revival","10.89"
"Jennifer                                          ","Peterson                                          ","Rush","7.92"
"Alexandre                                         ","Rocha                                             ","Titãs","4.95"
"Aaron                                             ","Mitchell                                          ","U2","11.879999999999999"
"Fernanda                                          ","Ramos                                             ","Nirvana","9.9"
"Michelle                                          ","Brooks                                            ","Miles Davis","6.93"
"Kara                                              ","Nielsen                                           ","Audioslave","4.949999999999999"
"Camille                                           ","Bernard                                           ","Bruce Dickinson","7.92"
"Luis                                              ","Rojas                                             ","James Brown","14.850000000000001"
"Tim                                               ","Goyer                                             ","Santana","8.91"
"Jack                                              ","Smith                                             ","AC/DC","10.89"
"Patrick                                           ","Gray                                              ","Pearl Jam","19.8"
"Ellie                                             ","Sullivan                                          ","Audioslave","9.9"
"Marc                                              ","Dubois                                            ","Marisa Monte","4.95"
"Steve                                             ","Murray                                            ","Amy Winehouse","7.92"
"Fynn                                              ","Zimmermann                                        ","Karsh Kale","4.95"
"Alexandre                                         ","Rocha                                             ","Queen","14.85"
"Dominique                                         ","Lefebvre                                          ","Soundgarden","1.98"
"Madalena                                          ","Sampaio                                           ","Ozzy Osbourne","7.92"
"Fernanda                                          ","Ramos                                             ","Ozzy Osbourne","17.82"
"François                                          ","Tremblay                                          ","Eric Clapton","27.720000000000002"
"Puja                                              ","Srivastava                                        ","R.E.M.","8.91"
"Daan                                              ","Peeters                                           ","Marvin Gaye","5.9399999999999995"
"Camille                                           ","Bernard                                           ","Amy Winehouse","10.89"
"R                                                 ","Madhav                                            ","Chico Buarque","6.93"
"Astrid                                            ","Gruber                                            ","Pink Floyd","4.95"
"Leonie                                            ","Köhler                                            ","Judas Priest","10.89"
"Fernanda                                          ","Ramos                                             ","Led Zeppelin","9.9"
"Emma                                              ","Jones                                             ","Gustav Mahler","6.93"
"Richard                                           ","Cunningham                                        ","Caetano Veloso","5.9399999999999995"
"Heather                                           ","Leacock                                           ","Pink Floyd","7.92"
"Camille                                           ","Bernard                                           ","Apocalyptica","10.89"
"Hugh                                              ","O'Reilly                                          ","UB40","0.99"
"Ellie                                             ","Sullivan                                          ","Judas Priest","13.86"
"Fernanda                                          ","Ramos                                             ","Audioslave","0.99"
"Julia                                             ","Barnett                                           ","Creedence Clearwater Revival","9.9"
"Isabelle                                          ","Mercier                                           ","Eric Clapton","19.8"
"Johannes                                          ","Van der Berg                                      ","Red Hot Chili Peppers","19.8"
"Fernanda                                          ","Ramos                                             ","Metallica","9.9"
"Mark                                              ","Taylor                                            ","Godsmack","6.93"
"Luís                                              ","Gonçalves                                         ","Rush","194.04000000000002"
"Julia                                             ","Barnett                                           ","Alice In Chains","9.9"
"Enrique                                           ","Muñoz                                             ","Foo Fighters","36.63"
"Madalena                                          ","Sampaio                                           ","Green Day","3.96"
"Martha                                            ","Silk                                              ","The Posies","7.92"
"Fernanda                                          ","Ramos                                             ","The Rolling Stones","9.9"
"Luís                                              ","Gonçalves                                         ","Scorpions","10.89"
"Alexandre                                         ","Rocha                                             ","Led Zeppelin","7.92"
"Niklas                                            ","Schröder                                          ","Djavan","2.9699999999999998"
"Niklas                                            ","Schröder                                          ","Red Hot Chili Peppers","19.8"
"Ladislav                                          ","Kovács                                            ","Van Halen","10.89"
"Dominique                                         ","Lefebvre                                          ","Apocalyptica","3.96"
"Wyatt                                             ","Girard                                            ","Pink Floyd","10.89"
"Kathy                                             ","Chase                                             ","Calexico","10.89"
"Isabelle                                          ","Mercier                                           ","Lenny Kravitz","0.99"
"Hugh                                              ","O'Reilly                                          ","Raimundos","10.89"
"Kara                                              ","Nielsen                                           ","Alanis Morissette","4.95"
"Marc                                              ","Dubois                                            ","Audioslave","10.89"
"Johannes                                          ","Van der Berg                                      ","The Clash","8.91"
"Helena                                            ","Holý                                              ","Led Zeppelin","16.83"
"R                                                 ","Madhav                                            ","Amy Winehouse","8.91"
"Johannes                                          ","Van der Berg                                      ","Guns N' Roses","8.91"
"Niklas                                            ","Schröder                                          ","Godsmack","10.89"
"Johannes                                          ","Van der Berg                                      ","Jamiroquai","2.9699999999999998"
"Luis                                              ","Rojas                                             ","Eric Clapton","21.78"
"Puja                                              ","Srivastava                                        ","Audioslave","18.810000000000002"
"Frank                                             ","Harris                                            ","Iron Maiden","3.96"
"Hannah                                            ","Schneider                                         ","Red Hot Chili Peppers","25.74"
"Alexandre                                         ","Rocha                                             ","UB40","7.92"
"Michelle                                          ","Brooks                                            ","Mötley Crüe","8.91"
"Robert                                            ","Brown                                             ","James Brown","19.8"
"Patrick                                           ","Gray                                              ","Velvet Revolver","21.78"
"Johannes                                          ","Van der Berg                                      ","Metallica","2.9699999999999998"
"Astrid                                            ","Gruber                                            ","The Doors","11.879999999999999"
"Julia                                             ","Barnett                                           ","U2","4.95"
"Julia                                             ","Barnett                                           ","Black Sabbath","22.770000000000003"
"Isabelle                                          ","Mercier                                           ","Godsmack","9.9"
"Diego                                             ","Gutiérrez                                         ","Green Day","177.21000000000004"
"Phil                                              ","Hughes                                            ","Santana","14.850000000000001"
"Dominique                                         ","Lefebvre                                          ","Eric Clapton","8.91"
"Frank                                             ","Ralston                                           ","The Who","4.95"
"Mark                                              ","Taylor                                            ","Green Day","17.82"
"Hugh                                              ","O'Reilly                                          ","Guns N' Roses","16.83"
"Luis                                              ","Rojas                                             ","The Doors","20.79"
"Heather                                           ","Leacock                                           ","Eric Clapton","6.93"
"Robert                                            ","Brown                                             ","Led Zeppelin","24.75"
"Diego                                             ","Gutiérrez                                         ","The Clash","9.9"
"Madalena                                          ","Sampaio                                           ","U2","7.92"
"Hugh                                              ","O'Reilly                                          ","Battlestar Galactica","9.9"
"Jennifer                                          ","Peterson                                          ","Iron Maiden","7.92"
"Helena                                            ","Holý                                              ","The Police","19.8"
"Madalena                                          ","Sampaio                                           ","Faith No More","10.89"
"Aaron                                             ","Mitchell                                          ","Eric Clapton","5.9399999999999995"
"Dan                                               ","Miller                                            ","Apocalyptica","14.850000000000001"
"Patrick                                           ","Gray                                              ","Rush","21.78"
"Ladislav                                          ","Kovács                                            ","Frank Sinatra","9.9"
"Luis                                              ","Rojas                                             ","The Clash","9.9"
"Jennifer                                          ","Peterson                                          ","The Rolling Stones","4.95"
"Daan                                              ","Peeters                                           ","Jimi Hendrix","9.9"
"Leonie                                            ","Köhler                                            ","Chico Buarque","7.92"
"Stanisław                                         ","Wójcik                                            ","The Doors","10.89"
"Dominique                                         ","Lefebvre                                          ","The Rolling Stones","8.91"
"Tim                                               ","Goyer                                             ","Godsmack","6.93"
"Daan                                              ","Peeters                                           ","Apocalyptica","5.9399999999999995"
"Aaron                                             ","Mitchell                                          ","Def Leppard","6.93"
"Mark                                              ","Philips                                           ","Rush","0.99"
"Emma                                              ","Jones                                             ","Metallica","9.899999999999999"
"Ladislav                                          ","Kovács                                            ","The Doors","8.91"
"João                                              ","Fernandes                                         ","U2","7.92"
"Alexandre                                         ","Rocha                                             ","James Brown","6.93"
"Kara                                              ","Nielsen                                           ","Iron Maiden","4.95"
"Alexandre                                         ","Rocha                                             ","Itzhak Perlman","1.98"
"Heather                                           ","Leacock                                           ","Incognito","10.89"
"Helena                                            ","Holý                                              ","Metallica","10.89"
"Ellie                                             ","Sullivan                                          ","Mötley Crüe","4.95"
"Isabelle                                          ","Mercier                                           ","Foo Fighters","21.78"
"Mark                                              ","Philips                                           ","Pink Floyd","3.96"
"Steve                                             ","Murray                                            ","The Rolling Stones","26.73"
"Enrique                                           ","Muñoz                                             ","Ozzy Osbourne","19.8"
"Ellie                                             ","Sullivan                                          ","Stone Temple Pilots","9.9"
"Ladislav                                          ","Kovács                                            ","Aerosmith","10.89"
"Luis                                              ","Rojas                                             ","JET","15.84"
"Terhi                                             ","Hämäläinen                                        ","Scorpions","9.9"
"John                                              ","Gordon                                            ","Audioslave","10.89"
"Kathy                                             ","Chase                                             ","Foo Fighters","19.8"
"Isabelle                                          ","Mercier                                           ","The Rolling Stones","14.849999999999998"
"Heather                                           ","Leacock                                           ","Def Leppard","8.91"
"Bjørn                                             ","Hansen                                            ","Scorpions","9.9"
"Isabelle                                          ","Mercier                                           ","Scorpions","19.8"
"Richard                                           ","Cunningham                                        ","Antônio Carlos Jobim","4.95"
"Dan                                               ","Miller                                            ","Creedence Clearwater Revival","18.810000000000002"
"Steve                                             ","Murray                                            ","Luciano Pavarotti","8.91"
"João                                              ","Fernandes                                         ","Audioslave","9.9"
"Luis                                              ","Rojas                                             ","Bruce Dickinson","9.9"
"Richard                                           ","Cunningham                                        ","Chris Cornell","14.850000000000001"
"Luís                                              ","Gonçalves                                         ","The Who","11.879999999999999"
"Roberto                                           ","Almeida                                           ","Jamiroquai","16.83"
"Enrique                                           ","Muñoz                                             ","Godsmack","20.79"
"François                                          ","Tremblay                                          ","Def Leppard","6.93"
"Julia                                             ","Barnett                                           ","Def Leppard","4.95"
"Ladislav                                          ","Kovács                                            ","Lenny Kravitz","9.9"
"Roberto                                           ","Almeida                                           ","Skank","10.89"
